Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.011954309488273617,0.025700424182149444,0.10850608888349507,0.19397667708710103,0.08610020977930798,0.15392161639357502,178.77031518054002,0.15988942191079789,4.318834531093746
Asp,0.4397946592175943,0.04311564997578119,3.9918991916982947,0.36927437719192274,3.167595121708917,0.2930213564004347,9.250593751462457,3.133405786733003,4.200525528190669
Cr,0.5048250985467323,0.02801870376073802,4.582163199577783,0.21883123158826331,3.6359730295898967,0.17364384929811785,4.775718848434451,16.843648982198577,4.337463725689772
GABA,0.2623992710637222,0.03719870631656495,2.381728418269044,0.3117882868975753,1.8899152901040286,0.24740581090740718,13.090841277536253,2.512696544977657,4.838453359282957
GPC,0.13551656504276793,0.018459142020146712,1.230047830545171,0.1062161603274121,0.9760500755145323,0.0842831382113698,8.635124398401313,13.465945389325883,4.415174532546528
GSH,0.22074678734739853,0.01956157766157339,2.0036598978935998,0.1213884705278881,1.5899157301693805,0.09632245420312359,6.058337078837628,5.717998878548471,4.178169445513746
Glc,0.07847660168438181,0.03453920231563835,0.7123112485913975,0.28547071081230874,0.5652231000394033,0.2265226619049826,40.076681559757745,0.9561781650421022,10.45105368055621
Gln,0.37006222063108035,0.032578918710989134,3.3589563866995387,0.2658078444551777,2.6653513412035634,0.21092006360260293,7.913405649078897,3.0058706419650303,7.5775344396349915
Glu,1.2478329914927817,0.03456874779297689,11.326248297276328,0.2857651955235283,8.987443602866408,0.22675633722840183,2.5230348834242626,11.63398907031014,6.397879433500398
Glyc,0.0,0.03674531579894329,0.0,0.3073269684298114,0.0,0.24386572887220256,999.0,0.0,0.0
Lac,0.13148495487782808,0.028456565814168815,1.1934539769788333,0.22343770337132599,0.947012640831231,0.1772991113294497,18.721937140546206,1.8627014408936262,4.290543700780969
MM09,0.7990803274348522,0.04456680259358925,7.253039677344001,0.3832056258547915,5.755328979072197,0.3040758828763508,5.283379698746085,7.431807702151537,21.98071218548221
MM12,0.13433272477888827,0.1570090026861481,1.2193024272224287,1.4192258053854026,0.967523535762051,1.1261638938907303,116.3965373724712,1.252275592227557,22.140962107932776
MM14,0.834519433532406,0.3533802207714694,7.574711021050204,3.2049198590969823,6.01057705278015,2.54312246467944,42.31078717314067,4.300099991683975,38.452339872271395
MM16,0.4702210519255364,0.11858009124282252,4.268071468717774,1.0684914392662348,3.3867394225613583,0.8478541436231908,25.034525478253855,4.366349638311042,22.079902378874554
MM21,3.3839416539011316,0.4119857086033737,30.715138689937294,3.737239010723943,24.37264039111826,2.965520793623321,12.167417013644528,7.9154440426714965,0.0
MM30,0.6039417406840374,0.14974855175147997,5.481818607707687,1.353037132808896,4.34985480494579,1.073642798968858,24.682267503460693,3.2591622467201304,37.037474721221706
MM39,3.564511027097463,0.705732527181693,32.35411888171645,6.404435782269062,25.67318066299033,5.081956874913681,19.794808214938765,9.760434954138002,0.0
NAA,1.4372943289470521,0.021866078855096387,13.04593848448159,0.15033517337502597,10.352027723419969,0.11929183051373697,1.1523523091409078,48.40584339751801,4.316735693522561
NAAG,0.04431836447075448,0.020352651565141017,0.4022660111947027,0.13166830368711194,0.31920040900320146,0.10447956133520168,32.731650207300895,1.6896044265572483,4.689624395713326
PCh,0.0531880662333257,0.01884952682402271,0.4827739358693743,0.11172206238553989,0.3830839133734372,0.08865210337366713,23.141693054400704,5.367482039569771,4.312588807229845
PCr,0.49517490145326765,0.02733653530826746,4.4945709262981035,0.21160349547284885,3.5664680535832094,0.16790859884194437,4.7079798926909655,16.652354740852765,4.320227427407675
PE,0.22030706261450989,0.05656713151228914,1.9996686334045979,0.4968247917469129,1.586748638687936,0.3942333488667196,24.845356047868215,1.577313923934162,15.49626475881427
Scyllo,0.041502252329060886,0.015045193533269502,0.376704910015899,0.04310759718400776,0.29891752721904485,0.03420612795849785,11.44333297439324,2.7620423983273317,4.354353495908125
Tau,0.20744075738899026,0.034478527377051364,1.8828846016901886,0.2848657906275199,1.4940798333430088,0.22604265423586478,15.129221959317501,2.1945667761344003,12.48356604183365
bHB,0.0,0.029334907802103218,0.0,0.23260789421048123,0.0,0.18457571085572436,999.0,0.0,0.0
mI,0.8342089839834163,0.038724650894692195,7.571893153034526,0.3267367136153052,6.008341058194254,0.25926747405931655,4.315125781778387,17.574402226075108,7.217616742333178
Cr+PCr,0.9999999999999999,0.020189232728432815,9.076734125875886,0.12957894235854545,7.202441083173106,0.10282164102358209,1.4275943369228228,,
