Metab,/Cr+PCr,/Cr+PCr CRLB,mMol/kg,mMol/kg CRLB,mM,mM CRLB,%CRLB,SNR,FWHM
Ala,0.023539766000264847,0.027966487782675662,0.28106249555715734,0.21317029893710854,0.2219454207297643,0.16833327972448997,75.84444823011182,0.40845053313117496,4.379237883396697
Asp,0.39510088190333253,0.04116143989465249,4.717465749801206,0.41890017555048775,3.7252210350667654,0.33079111292320396,8.879771423208323,3.604385870189261,4.182060440959646
Cr,0.5588960005214193,0.03199111019320387,6.673163389206888,0.28256426090951225,5.269568439147329,0.2231313133630204,4.23433751624498,24.244403331311396,4.3787577366518065
GABA,0.1870652774389994,0.03711616378653226,2.2335410517039813,0.3610189620367525,1.7637508250787917,0.28508430220059433,16.16352481013631,2.2972301415362617,4.800532463060447
GPC,0.04260740933066517,0.023735563488489406,0.5087282853859859,0.11940126881468423,0.40172529285097275,0.09428709010147383,23.47053864404085,5.46043119224352,4.452934465194069
GSH,0.08854817025901325,0.024353018069771772,1.0572564616716373,0.1359767084070975,0.8348791956031502,0.10737614670728773,12.861279484837912,2.9910056172734927,4.2269137284527964
Glc,0.0,0.03461049491487941,0.0,0.323594063330313,0.0,0.25553114224339774,999.0,0.0,0.0
Gln,0.28259702399598163,0.03353579554579587,3.374180728918156,0.307038093942725,2.664474888453087,0.24245746059109044,9.09963391442784,2.9984989774872832,6.834757584988916
Glu,1.1388167125350277,0.03604877278517196,13.597359770003301,0.3452553907491519,10.737369028852285,0.2726363501723642,2.5391355129898727,13.860575321132346,5.83596337516834
Glyc,0.0,0.036285543847482504,0.0,0.3487734004424651,0.0,0.2754144018649814,999.0,0.0,0.0
Lac,0.1155956508956729,0.030026822544912093,1.3802007256965185,0.24995119186294115,1.0898972136036706,0.1973778903868194,18.109771079623453,2.083452763589218,4.416661048400355
MM09,0.754511047734396,0.05773278099831394,9.0087878528312,0.6396156270427882,7.113931036221079,0.5050825410481509,7.099907751094124,6.467110926570225,28.545016662175183
MM12,0.21323572655103493,0.0837262116580206,2.5460136454076547,0.9660779125227593,2.010499723890796,0.7628786200291605,37.94472642616477,2.3971918978286277,22.203189007465596
MM14,0.4348482725929344,0.15121347950700614,5.192045693330769,1.7870863638099692,4.099980552617397,1.4112008580510444,34.41969638490467,3.919105579759371,27.33191122389278
MM16,0.35052481854524287,0.09012224285318075,4.185231928556013,1.0449048358191098,3.3049342260824908,0.825125539957627,24.966473869457033,3.925579495778901,22.188505577129064
MM21,2.929352553379228,0.38879474746721326,34.976181964180675,4.635050557938319,27.619492263357554,3.6601405824212687,13.252019796457784,8.311584288050636,0.0
MM30,0.4795095946790259,0.10498237661653365,5.72529749541995,1.226846045978999,4.521071226187965,0.9687982784956194,21.42851174040188,4.017993060978794,29.225637839583428
MM39,3.6512633782824304,0.6060850367358528,43.59572635619958,7.232030173367212,34.426051077948564,5.710886386234044,16.588851196738403,11.729504493371353,0.0
NAA,1.3513745396561074,0.03252439755322545,16.135279362754787,0.2911141099535626,12.74147715674369,0.2298828361497802,1.8042086747226946,58.21840285127376,4.386697820969593
NAAG,0.014551316216403752,0.02569304329166383,0.17374128737633823,0.16748208422557487,0.13719754052717587,0.13225486230191003,96.39740026951371,0.7065181790011694,4.686572571944908
PCh,0.11236276949597353,0.02414853780977888,1.341600439099379,0.13067439757661983,1.0594158901097313,0.1031890935546517,9.740187448383812,14.613510529107192,4.37995205973396
PCr,0.44110399947858064,0.030306849520166244,5.266738458330385,0.2547237300996104,4.158962869416537,0.20114660027743175,4.836460593495289,19.020649134591125,4.388201046487572
PE,0.3834670681315192,0.04944071417199305,4.578559155253227,0.5314277170479375,3.615531257681222,0.4196502561248928,11.606876727544337,3.428019832935538,15.445117959807074
Scyllo,0.04355810709208384,0.021906612987156546,0.5200795233439982,0.04853902428962454,0.41068897645949026,0.03832960404915408,9.333000456839596,3.769626828643956,4.384672013351187
Tau,0.29010554488596413,0.03397188023066072,3.4638317313647304,0.313798121419189,2.7352692127452927,0.24779562262311242,9.059277290457592,3.7489241497937926,11.961380687020629
bHB,0.011802758710682615,0.030289355747864212,0.140923780535716,0.2544269162843231,0.11128268003109593,0.20091221657930883,180.54221602424346,0.2186234953418733,4.421555396249305
mI,0.745915803900109,0.03844750989031862,8.906161485094161,0.3803637118129907,7.032890510624763,0.3003601881543148,4.270792893768973,20.53082192740754,6.863336427579858
Cr+PCr,1.0,0.03044250990431048,11.939901847537273,0.25701958312450107,9.428531308563866,0.20295955673230473,2.152610518967658,,
